collection_time_utc,source_weather,source_air,source_city_selection,units_weather,country_code,country_name,country_capital,country_population,continent,city_name,city_name_ascii,city_population,population_rank_in_country,city_timezone_geonames,geonames_feature_code,city_dem,geonameid,geonames_modification_date,geo_lat,geo_lon,weather_id,weather_main,weather_description,weather_icon,temp,feels_like,temp_min,temp_max,pressure,humidity,sea_level,grnd_level,visibility,wind_speed,wind_deg,wind_gust,clouds_all,rain_1h,rain_3h,snow_1h,snow_3h,timezone_shift_seconds,weather_time_unix,weather_time_utc,sunrise_unix,sunrise_utc,sunset_unix,sunset_utc,station_country,station_type,city_id_openweather,city_name_api,cod,wind_compass,is_daytime,temp_category,comfort_proxy,has_rain,has_snow,air_time_unix,air_time_utc,aqi,pm2_5,pm10,co,no,no2,o3,so2,nh3,aqi_label,pm25_category,weather_datetime_utc,air_datetime_utc,year,month,day,hour,day_of_week,is_weekend,season,temp_humidity_interaction,wind_pm25_interaction,pressure_temp_interaction,target_aqi_class,target_pm25,target_pm10,DATETIME,HOUR
2026-05-04T23:28:28Z,OpenWeather,OpenWeather,GeoNames cities15000 + countryInfo,metric,AE,United Arab Emirates,Abu Dhabi,9630959,AS,Dubai,Dubai,3790000,1,Asia/Dubai,PPLA,24,292223,2026-04-13,25.07725,55.30927,800,Clear,clear sky,01n,26.84,27.69,24.05,26.84,1004,57,1004,1001,10000.0,3.53,208,3.68,0,0.0,0.0,0.0,0.0,14400,1777937308,2026-05-04T23:28:28Z,1777945221,2026-05-05T01:40:21Z,1777992632,2026-05-05T14:50:32Z,AE,stations,292224,Dubai,200,SSW,0,warm,32.54,0,0,1777937308,2026-05-04T23:28:28Z,4,55.24,183.6,147.37,0.0,3.57,110.19,2.42,0.0,poor,very_high,2026-05-04T23:28:28Z,2026-05-04T23:28:28Z,2026,5,4,23,0,0,spring,1529.88,194.9972,26947.36,4,55.24,183.6,2026-05-04 23:28:28+00:00,23.0
2026-05-05T23:30:48Z,OpenWeather,OpenWeather,GeoNames cities15000 + countryInfo,metric,AE,United Arab Emirates,Abu Dhabi,9630959,AS,Dubai,Dubai,3790000,1,Asia/Dubai,PPLA,24,292223,2026-04-13,25.07725,55.30927,800,Clear,clear sky,01n,30.84,30.44,24.05,30.84,1005,38,1005,1002,10000.0,4.47,118,5.29,0,0.0,0.0,0.0,0.0,14400,1778023848,2026-05-05T23:30:48Z,1778031582,2026-05-06T01:39:42Z,1778079063,2026-05-06T14:51:03Z,AE,stations,292224,Dubai,200,ESE,0,hot,34.64,0,0,1778023848,2026-05-05T23:30:48Z,5,94.25,238.76,405.01,0.0,8.74,88.57,4.78,0.67,very_poor,very_high,2026-05-05T23:30:48Z,2026-05-05T23:30:48Z,2026,5,5,23,1,0,spring,1171.92,421.2975,30994.2,5,94.25,238.76,2026-05-05 23:30:48+00:00,23.0
2026-05-06T23:32:23Z,OpenWeather,OpenWeather,GeoNames cities15000 + countryInfo,metric,AE,United Arab Emirates,Abu Dhabi,9630959,AS,Dubai,Dubai,3790000,1,Asia/Dubai,PPLA,24,292223,2026-04-13,25.07725,55.30927,800,Clear,clear sky,01n,31.84,33.19,29.05,31.84,1006,46,1006,1003,10000.0,2.18,19,2.29,0,0.0,0.0,0.0,0.0,14400,1778110343,2026-05-06T23:32:23Z,1778117943,2026-05-07T01:39:03Z,1778165495,2026-05-07T14:51:35Z,AE,stations,292224,Dubai,200,NNE,0,hot,36.44,0,0,1778110343,2026-05-06T23:32:23Z,5,88.81,307.14,287.84,0.0,9.53,82.46,7.98,2.09,very_poor,very_high,2026-05-06T23:32:23Z,2026-05-06T23:32:23Z,2026,5,6,23,2,0,spring,1464.64,193.6058,32031.04,5,88.81,307.14,2026-05-06 23:32:23+00:00,23.0
2026-05-07T23:29:51Z,OpenWeather,OpenWeather,GeoNames cities15000 + countryInfo,metric,AE,United Arab Emirates,Abu Dhabi,9630959,AS,Dubai,Dubai,3790000,1,Asia/Dubai,PPLA,24,292223,2026-04-13,25.07725,55.30927,800,Clear,clear sky,01n,30.84,31.63,28.05,30.84,1006,46,1006,1003,10000.0,2.06,146,2.0,0,0.0,0.0,0.0,0.0,14400,1778196591,2026-05-07T23:29:51Z,1778204306,2026-05-08T01:38:26Z,1778251926,2026-05-08T14:52:06Z,AE,stations,292224,Dubai,200,SE,0,hot,35.44,0,0,1778196591,2026-05-07T23:29:51Z,5,65.57,208.61,217.71,0.0,10.67,77.13,3.1,0.77,very_poor,very_high,2026-05-07T23:29:51Z,2026-05-07T23:29:51Z,2026,5,7,23,3,0,spring,1418.64,135.0742,31025.04,5,65.57,208.61,2026-05-07 23:29:51+00:00,23.0
2026-05-08T23:27:04Z,OpenWeather,OpenWeather,GeoNames cities15000 + countryInfo,metric,AE,United Arab Emirates,Abu Dhabi,9630959,AS,Dubai,Dubai,3790000,1,Asia/Dubai,PPLA,24,292223,2026-04-13,25.07725,55.30927,800,Clear,clear sky,01n,27.84,31.01,27.05,27.84,1006,75,1006,1002,10000.0,3.16,194,3.28,0,0.0,0.0,0.0,0.0,14400,1778282824,2026-05-08T23:27:04Z,1778290670,2026-05-09T01:37:50Z,1778338358,2026-05-09T14:52:38Z,AE,stations,292224,Dubai,200,SSW,0,warm,35.34,0,0,1778282824,2026-05-08T23:27:04Z,4,40.71,116.86,142.46,0.0,1.53,103.84,0.53,0.04,poor,high,2026-05-08T23:27:04Z,2026-05-08T23:27:04Z,2026,5,8,23,4,0,spring,2088.0,128.64360000000002,28007.04,4,40.71,116.86,2026-05-08 23:27:04+00:00,23.0
2026-05-09T23:22:01Z,OpenWeather,OpenWeather,GeoNames cities15000 + countryInfo,metric,AE,United Arab Emirates,Abu Dhabi,9630959,AS,Dubai,Dubai,3790000,1,Asia/Dubai,PPLA,24,292223,2026-04-13,25.07725,55.30927,803,Clouds,broken clouds,04n,28.84,29.82,28.05,28.84,1007,53,1007,1004,10000.0,3.75,229,5.3,63,0.0,0.0,0.0,0.0,14400,1778368666,2026-05-09T23:17:46Z,1778377034,2026-05-10T01:37:14Z,1778424790,2026-05-10T14:53:10Z,AE,stations,292224,Dubai,200,SW,0,warm,34.14,0,0,1778368921,2026-05-09T23:22:01Z,4,31.09,104.91,125.88,0.0,1.67,102.54,0.47,0.14,poor,high,2026-05-09T23:17:46Z,2026-05-09T23:22:01Z,2026,5,9,23,5,1,spring,1528.52,116.5875,29041.88,4,31.09,104.91,2026-05-09 23:22:01+00:00,23.0
2026-05-10T23:17:32Z,OpenWeather,OpenWeather,GeoNames cities15000 + countryInfo,metric,AE,United Arab Emirates,Abu Dhabi,9630959,AS,Dubai,Dubai,3790000,1,Asia/Dubai,PPLA,24,292223,2026-04-13,25.07725,55.30927,801,Clouds,few clouds,02n,25.84,25.99,25.05,25.84,1006,58,1006,1003,10000.0,4.04,208,5.65,15,0.0,0.0,0.0,0.0,14400,1778455052,2026-05-10T23:17:32Z,1778463400,2026-05-11T01:36:40Z,1778511222,2026-05-11T14:53:42Z,AE,stations,292224,Dubai,200,SSW,0,warm,31.64,0,0,1778455052,2026-05-10T23:17:32Z,4,29.09,119.54,124.62,0.0,1.62,125.94,0.86,0.35,poor,high,2026-05-10T23:17:32Z,2026-05-10T23:17:32Z,2026,5,10,23,6,1,spring,1498.72,117.5236,25995.04,4,29.09,119.54,2026-05-10 23:17:32+00:00,23.0
2026-05-11T23:15:42Z,OpenWeather,OpenWeather,GeoNames cities15000 + countryInfo,metric,AE,United Arab Emirates,Abu Dhabi,9630959,AS,Dubai,Dubai,3790000,1,Asia/Dubai,PPLA,24,292223,2026-04-13,25.07725,55.30927,801,Clouds,few clouds,02n,27.13,28.65,27.13,27.13,1005,65,1005,1002,10000.0,2.15,163,2.23,13,0.0,0.0,0.0,0.0,14400,1778541341,2026-05-11T23:15:41Z,1778549767,2026-05-12T01:36:07Z,1778597653,2026-05-12T14:54:13Z,AE,stations,292224,Dubai,200,SSE,0,warm,33.63,0,0,1778541341,2026-05-11T23:15:41Z,4,49.39,182.82,204.31,0.0,2.9,124.71,0.79,0.5,poor,high,2026-05-11T23:15:41Z,2026-05-11T23:15:41Z,2026,5,11,23,0,0,spring,1763.45,106.1885,27265.65,4,49.39,182.82,2026-05-11 23:15:42+00:00,23.0
2026-05-12T23:13:07Z,OpenWeather,OpenWeather,GeoNames cities15000 + countryInfo,metric,AE,United Arab Emirates,Abu Dhabi,9630959,AS,Dubai,Dubai,3790000,1,Asia/Dubai,PPLA,24,292223,2026-04-13,25.07725,55.30927,800,Clear,clear sky,01n,28.84,30.91,26.05,28.84,1002,61,1002,999,10000.0,2.15,237,2.24,10,0.0,0.0,0.0,0.0,14400,1778627586,2026-05-12T23:13:06Z,1778636135,2026-05-13T01:35:35Z,1778684085,2026-05-13T14:54:45Z,AE,stations,292224,Dubai,200,WSW,0,warm,34.94,0,0,1778627586,2026-05-12T23:13:06Z,5,55.35,218.07,248.03,0.0,9.66,79.06,3.01,1.67,very_poor,very_high,2026-05-12T23:13:06Z,2026-05-12T23:13:06Z,2026,5,12,23,1,0,spring,1759.24,119.0025,28897.68,5,55.35,218.07,2026-05-12 23:13:07+00:00,23.0
2026-05-13T23:16:17Z,OpenWeather,OpenWeather,GeoNames cities15000 + countryInfo,metric,AE,United Arab Emirates,Abu Dhabi,9630959,AS,Dubai,Dubai,3790000,1,Asia/Dubai,PPLA,24,292223,2026-04-13,25.07725,55.30927,800,Clear,clear sky,01n,27.84,28.27,27.05,27.84,1002,50,1002,999,10000.0,3.67,226,4.15,0,0.0,0.0,0.0,0.0,14400,1778714177,2026-05-13T23:16:17Z,1778722504,2026-05-14T01:35:04Z,1778770517,2026-05-14T14:55:17Z,AE,stations,292224,Dubai,200,SW,0,warm,32.84,0,0,1778714177,2026-05-13T23:16:17Z,4,52.79,160.14,205.33,0.0,4.62,125.15,3.57,0.42,poor,very_high,2026-05-13T23:16:17Z,2026-05-13T23:16:17Z,2026,5,13,23,2,0,spring,1392.0,193.7393,27895.68,4,52.79,160.14,2026-05-13 23:16:17+00:00,23.0
2026-05-14T23:16:47Z,OpenWeather,OpenWeather,GeoNames cities15000 + countryInfo,metric,AE,United Arab Emirates,Abu Dhabi,9630959,AS,Dubai,Dubai,3790000,1,Asia/Dubai,PPLA,24,292223,2026-04-13,25.07725,55.30927,800,Clear,clear sky,01n,30.84,31.98,29.05,30.84,1000,48,1000,997,10000.0,5.63,271,10.01,0,0.0,0.0,0.0,0.0,14400,1778800607,2026-05-14T23:16:47Z,1778808874,2026-05-15T01:34:34Z,1778856949,2026-05-15T14:55:49Z,AE,stations,292224,Dubai,200,W,0,hot,35.64,0,0,1778800607,2026-05-14T23:16:47Z,4,37.11,132.6,128.35,0.0,1.82,126.18,3.78,0.05,poor,high,2026-05-14T23:16:47Z,2026-05-14T23:16:47Z,2026,5,14,23,3,0,spring,1480.32,208.9293,30840.0,4,37.11,132.6,2026-05-14 23:16:47+00:00,23.0
